Lat,Lon,Site_Number
35.62388868,-121.1623343,188
35.61675597,-121.1570092,189
35.60964349,-121.151169,190
35.60126426,-121.1455059,191
35.59622329,-121.138715,192
35.59014464,-121.1334317,193
35.58256613,-121.1289668,194
35.57380439,-121.1250312,195
35.56942823,-121.1201712,196
35.56030749,-121.1140574,197
35.5526085,-121.1099713,198
35.54450395,-121.1057863,199
35.53910171,-121.0987411,200
35.53087622,-121.0915343,201
35.52688371,-121.0842299,202
35.51983307,-121.0769681,203
35.51324159,-121.0706614,204
35.50449668,-121.0635384,205
35.49944498,-121.0564556,206
35.49411243,-121.0514433,207
35.48601126,-121.0440876,208
35.48172154,-121.0373124,209
35.47752921,-121.0305561,210
35.47284602,-121.0248579,211
35.46655201,-121.0185673,212
35.46053903,-121.0123046,213
35.45697329,-121.0028344,214
35.45592235,-120.989578,215
35.45419888,-120.9829925,216
35.45420217,-120.9765094,217
35.45008673,-120.9620858,218
35.44695202,-120.9569381,219
35.44223047,-120.9521667,222
35.43919481,-120.9441581,223
35.44278173,-120.9293861,221
35.44332374,-120.9130903,220
35.27382079,-120.9008506,224
35.24942022,-120.9005589,225
35.24255578,-120.8970449,226
35.23667468,-120.8917465,227
35.23051141,-120.8848869,228
35.22611349,-120.8789498,229
35.21706704,-120.8694286,230
35.21543243,-120.8652169,231
35.20299774,-120.8493563,232
35.19997739,-120.8441448,233
35.19466989,-120.8345421,234
35.19157911,-120.8263171,235
35.1871797,-120.8202512,236
35.17664535,-120.7407165,237
35.17136266,-120.7256618,239
35.1717996,-120.7197608,238
35.16823767,-120.7086851,240
35.16555022,-120.7024032,241
35.16196837,-120.6983416,242
35.15739399,-120.6910395,243
35.15394771,-120.6819486,244
35.14989154,-120.6679543,245
34.73358521,-120.6299289,246
34.73087984,-120.6241824,247
34.55493027,-120.605817,248
34.54320728,-120.5715557,249
34.54089718,-120.5649232,250
34.53883163,-120.5519407,251
34.53697264,-120.5452209,252
34.53144949,-120.5341134,253
34.5267371,-120.5285757,254
34.52159104,-120.5211947,255
34.51712921,-120.5143825,256
34.50965946,-120.510918,257
34.50347808,-120.504742,258
34.49482526,-120.5030415,259
34.48869502,-120.4975157,260
34.48190752,-120.4909994,261
34.47843523,-120.485594,262
34.46039288,-120.4792011,275
34.45716255,-120.4791715,293
34.44244016,-120.4515567,298
34.44752148,-120.4442081,294
34.4484355,-120.4359956,295
34.44716798,-120.4280178,297
34.44491962,-120.4176292,296
34.44703585,-120.4095957,292
34.44681478,-120.401586,291
34.44354367,-120.3912133,290
34.44472911,-120.3798844,288
34.44559983,-120.3718726,286
34.44772593,-120.3648243,289
34.45136575,-120.3584894,287
34.4545582,-120.352581,285
34.45721528,-120.3329996,280
34.46219469,-120.315841,277
34.46523816,-120.3004911,269
34.4672136,-120.2953244,267
34.46738371,-120.2870728,270
34.46716653,-120.2768958,272
34.46791059,-120.2713314,271
34.46773296,-120.266302,273
34.46254454,-120.2566461,274
34.46904605,-120.1856303,266
34.47005469,-120.1644629,268
34.47203599,-120.1479918,264
34.47215392,-120.1399115,263
34.46864148,-120.1242244,265
34.46421958,-120.1084422,276
34.45969091,-120.093908,283
34.45867313,-120.0879143,284
34.45948663,-120.0711751,278
34.46063525,-120.0636454,279
34.46019838,-120.0564583,282
34.46123256,-120.042727,281
34.4455487,-119.9793146,299
34.43987065,-119.9667687,300
34.43176697,-119.9565224,301
34.43232761,-119.9447813,302
34.43069178,-119.9335081,303
34.42998217,-119.9293404,304
34.42891457,-119.9222456,305
34.42465174,-119.9124184,306
34.41984211,-119.9041158,307
34.41773163,-119.8968433,309
34.40743142,-119.8834388,317
34.40495783,-119.8770989,321
34.4052546,-119.86762,319
34.40464119,-119.8578022,320
34.40332297,-119.8463933,324
34.40495461,-119.838766,322
34.41407694,-119.8206986,313
34.41456978,-119.8103047,312
34.41416472,-119.7945463,311
34.40892358,-119.7766727,318
34.40279135,-119.7564497,325
34.39911252,-119.741178,326
34.39518464,-119.730497,328
34.39389849,-119.7155851,331
34.39592384,-119.7021406,329
34.41218587,-119.6411906,314
34.41681985,-119.6245375,310
34.41709814,-119.6041044,308
34.41477228,-119.5949664,315
34.40949122,-119.5725728,316
34.39402915,-119.561708,323
34.39242772,-119.5453329,327
34.39168436,-119.5377471,330
34.39138254,-119.5311584,332
34.3888005,-119.5213204,333
34.34522843,-119.4314517,334
34.34031301,-119.4236242,335
34.31409473,-119.3718351,336
34.31056849,-119.3669686,337
34.30741468,-119.362063,338
34.29053851,-119.3433675,339
34.06177804,-118.9917739,340
34.06045243,-118.9880814,341
34.04871074,-118.966558,342
34.04571913,-118.9595737,343
34.04435456,-118.9510943,344
34.04228544,-118.9361041,345
34.03866207,-118.916366,346
34.03650727,-118.8993586,348
34.03522232,-118.8891891,351
34.03557716,-118.8805229,350
34.03546359,-118.8732991,352
34.03439703,-118.8698209,353
34.03306102,-118.865346,354
34.0050519,-118.795352,369
34.00900017,-118.7891594,368
34.01516479,-118.7874022,367
34.01617581,-118.7858634,366
34.0179979,-118.7822397,365
34.02089174,-118.7723331,364
34.02331983,-118.7605597,363
34.02506562,-118.753545,362
34.02764161,-118.7491131,360
34.03016193,-118.7434364,356
34.03032881,-118.7182642,359
34.02811032,-118.7068951,361
34.02839991,-118.7012753,358
34.02903748,-118.6966729,357
34.02979612,-118.6812433,355
34.03613344,-118.60432,349
34.0365211,-118.591235,347
33.80243343,-118.4065227,371
33.80394392,-118.4005917,370
33.79553422,-118.4116183,372
33.79049754,-118.4185673,373
33.78510977,-118.4260232,374
33.77536655,-118.4305195,375
33.76821235,-118.4269119,376
33.763655,-118.4247693,377
33.76094295,-118.4212707,378
33.75390559,-118.4163151,379
33.74949576,-118.4160726,380
33.74417717,-118.414852,381
33.74003151,-118.4100553,382
33.73767217,-118.4031553,385
33.73580076,-118.3981155,387
33.73907278,-118.3889906,383
33.73946858,-118.3814071,384
33.73505357,-118.3662156,386
33.72588183,-118.3506908,388
33.72249911,-118.3421659,389
33.72124882,-118.3396955,390
33.71958182,-118.3349268,391
33.71713124,-118.3285509,392
33.71479962,-118.3246583,393
33.71212664,-118.3167043,394
33.70992561,-118.3088885,395
33.7070366,-118.3007233,396
33.7037514,-118.2887974,397
33.58774652,-117.86896,398
33.58136853,-117.8612153,399
33.5642234,-117.8364838,400
33.56262015,-117.8317019,401
33.54074678,-117.7922567,402
33.53734142,-117.7848574,403
33.53165208,-117.7815087,404
33.49454542,-117.7438297,405
33.47795022,-117.7306715,406
33.47596322,-117.7296849,407
33.47258743,-117.7278828,408
33.46888736,-117.7242904,409
33.46315305,-117.7215096,410
33.45674909,-117.7179385,411
33.42765383,-117.6487657,412
33.41176454,-117.6296171,413
33.40311806,-117.6226932,414
33.39611288,-117.6161944,415
33.39228925,-117.6123712,416
33.38121271,-117.606256,417
33.37311251,-117.598223,418
33.34517339,-117.5688374,419
33.3468291,-117.565227,420
33.34665975,-117.5620334,421
33.34311993,-117.5578622,422
33.29990136,-117.5048579,423
33.29228679,-117.4942693,424
33.28751747,-117.489904,425
33.28469984,-117.4873874,426
33.15630293,-117.361244,427
33.14494293,-117.3514531,428
